run_id,tbias,kp,ddfsnow,ddfsnow_iceratio,ddfice,combined_rmse,glacier_wide_mb,mod_ABL_2023,mod_ABL_2024,mod_ELA_2023,mod_ELA_2024,mod_ELA_2025,mod_ACC_2023,mod_ACC_2024,mod_ACC_2025,rmse_ABL,bias_ABL,rmse_ELA,bias_ELA,rmse_ACC,bias_ACC
9986,0.5,4.25,0.0065,0.92,0.0070652173913043,0.5855675694143536,-1.3911983806208323,-3.31366206964295,-2.312216985524364,-0.3928684101506814,0.3171350565664435,1.0105322182082834,1.0326007827877244,1.6462066481046538,2.557734142353149,0.8684422057031403,0.7520604724163429,0.31352441437184997,-0.11506704512531818,0.5597138025467318,0.5105138577485091
2773,-7.0,0.5,0.012,0.28,0.0428571428571428,0.585854689405407,-2.1263642848956374,-5.066363359738704,-2.0481158010266896,-0.048974760012429064,0.8761628735663634,0.5880189930206718,0.8243919717405086,0.8952600029850211,1.041706452890418,0.5741762256787211,0.007760419617303338,0.5374841382626868,0.045069035524868704,0.637647097765207,-0.3145471907946841
5503,-4.0,1.25,0.0065,0.44,0.0147727272727272,0.593613890776138,-1.865506640503806,-3.1185885244030307,-2.9473729322514277,-0.364070409660802,0.18634636023256637,0.5477238729815044,0.7988330795553304,1.5656225972836992,1.54514016624878,1.0022532721415445,0.5320192716727707,0.410745222914792,-0.3033333921489105,0.3182564233969444,0.06819861436260326
9719,0.5,2.75,0.0043,0.6799999999999999,0.0063235294117647,0.6071733434404188,-1.591152085661993,-3.340208363379266,-2.450849657804444,-0.7648182743534472,-0.15419135841602583,0.40772275758018617,0.5595705431227451,1.0177509092014823,1.5992058154417805,0.8298227176584725,0.669470989408145,0.6492253294053993,-0.5970956250630955,0.3201997716884994,-0.17615757741133067
12476,3.5,3.5,0.0021,0.36,0.0058333333333333,0.6110938270316031,-0.5611561242629244,-4.021245081681942,-3.2546846841259347,-0.5473395145519525,0.5717460488040709,1.4153548893862848,1.1370359472884437,1.947855703663689,2.762493707902217,0.5565236861065528,-0.07296488290393821,0.5013500718054195,0.05325380787946773,0.7334831090070397,0.7141284529514499
2762,-7.0,0.5,0.0109,0.28,0.0389285714285714,0.6142482384245194,-1.7809007967422237,-4.423773112242863,-1.6363240801284975,0.15669023732431794,0.8762002118287088,0.6330402594860258,0.8243994175012728,0.8952761058727754,1.0417297278814428,0.7046993586450947,0.5349514038143198,0.5181613524412189,0.1286435695463508,0.6376339737969444,-0.31453158291483635
10130,0.5,5.0,0.0087,1.0,0.0087,0.626175531269806,-2.401142938389639,-4.551539581485132,-3.5016190743013516,-1.0738082277679368,-0.3141981219115484,0.3517528968858734,0.6352826340314738,1.328002748996724,2.3298212785112487,0.6174042999306077,-0.46157932789324185,0.8326122913186897,-0.7720844842645374,0.31340099211590755,0.1960355538464822
9703,0.5,2.75,0.0031999999999999,0.28,0.0114285714285714,0.630824507554592,-1.7022861415305717,-5.368283669157165,-3.1554859068682033,-0.2782994072684546,1.012064032378674,1.5094876434601652,1.2526266018444654,1.6453513971001166,2.3000279648868647,0.7176531085566785,-0.6968847880126843,0.6216727104040831,0.3210840895234615,0.5756253496926461,0.49766865461048226
8397,-1.0,2.75,0.0053999999999999,0.52,0.0103846153846153,0.6322853113580653,-1.798226055036195,-3.504370130265273,-2.557637617667145,-0.8005503304866056,-0.15051840042106446,0.7210438654903764,1.450559933754417,1.636203789427217,1.8974755145310156,0.7058736260425359,0.5339961260337909,0.5781003007527196,-0.5033416218057646,0.6322348441829968,0.42641307923754984
9998,0.5,4.25,0.0075999999999999,1.0,0.0075999999999999,0.632342934782157,-2.2341778422725844,-4.07187603636721,-3.1773515207478655,-1.0612212758497819,-0.4167529736062563,0.13194256891736056,0.4277977893868371,1.015204466011502,1.8523758870361202,0.49136738572154515,-0.05961377855753791,0.9154746273287457,-0.8753438935128927,0.2592910218278043,-0.13654061918851354
8118,-1.0,1.25,0.0021,0.2,0.0104999999999999,0.6372910391003354,-1.6885330998500647,-3.4075471708204246,-2.306676343068382,-0.6285581350282364,0.13459659521171424,0.6248595572855175,0.8106437980413668,0.8975932073742474,1.0374365595536779,0.805602684675918,0.7078882430555966,0.4963690505764169,-0.3830339941770016,0.635604928110795,-0.3197754783435693
6799,-2.5,1.25,0.0031999999999999,0.28,0.0114285714285714,0.6439308524764114,-1.366111292651987,-3.029877960580614,-2.4564527204233997,-0.021733071054047426,0.4847314819439909,0.5377033331124699,0.9858192645209939,1.172284850845313,1.4201794080956154,1.0467515151732654,0.8218346594979931,0.3902661180546739,-0.09309941866586224,0.4721846900061234,-0.04223882551269257
8251,-1.0,2.0,0.0031999999999999,0.28,0.0114285714285714,0.6457261068497322,-1.3876867010949896,-3.2592954095076294,-1.99242612530233,-0.21466434032795584,0.6689646511887491,1.0927980006735207,1.340510010780294,1.4811033361386177,1.718104901433776,0.9863691820423631,0.9391392325950202,0.3754544846793914,0.08903277051143799,0.5677297196656907,0.2782394161175626
9850,0.5,3.5,0.0053999999999999,0.6000000000000001,0.0089999999999999,0.6469853320208433,-2.309781768535458,-4.858779191956953,-3.5848651316988684,-1.1763161494367957,-0.3022910163553454,0.4991318124146469,0.7206838544451526,1.329429384199905,2.0749338703281204,0.7212800871768129,-0.6568221618279106,0.8422645717552332,-0.7531584511258315,0.24494992956609635,0.14001570299105934
